,case_id,activity,timestamp,case:concept:name,concept:name,time:timestamp,@@index,@@case_index
0,0,A_Create Application,2016-01-01 09:51:15.304000+00:00,0,A_Create Application,2016-01-01 09:51:15.304000+00:00,0,0
1,0,A_Submitted,2016-01-01 09:51:15.352000+00:00,0,A_Submitted,2016-01-01 09:51:15.352000+00:00,1,0
2,0,W_Handle leads,2016-01-01 09:51:15.774000+00:00,0,W_Handle leads,2016-01-01 09:51:15.774000+00:00,2,0
3,0,W_Handle leads,2016-01-01 09:52:36.392000+00:00,0,W_Handle leads,2016-01-01 09:52:36.392000+00:00,3,0
4,0,W_Complete application,2016-01-01 09:52:36.403000+00:00,0,W_Complete application,2016-01-01 09:52:36.403000+00:00,4,0
5,0,A_Concept,2016-01-01 09:52:36.413000+00:00,0,A_Concept,2016-01-01 09:52:36.413000+00:00,5,0
6,0,W_Complete application,2016-01-02 10:45:22.429000+00:00,0,W_Complete application,2016-01-02 10:45:22.429000+00:00,6,0
7,0,W_Complete application,2016-01-02 10:49:28.816000+00:00,0,W_Complete application,2016-01-02 10:49:28.816000+00:00,7,0
8,0,A_Accepted,2016-01-02 11:23:04.299000+00:00,0,A_Accepted,2016-01-02 11:23:04.299000+00:00,8,0
9,0,O_Create Offer,2016-01-02 11:29:03.994000+00:00,0,O_Create Offer,2016-01-02 11:29:03.994000+00:00,9,0
10,0,O_Created,2016-01-02 11:29:05.354000+00:00,0,O_Created,2016-01-02 11:29:05.354000+00:00,10,0
11,0,O_Sent (mail and online),2016-01-02 11:30:28.606000+00:00,0,O_Sent (mail and online),2016-01-02 11:30:28.606000+00:00,11,0
12,0,W_Complete application,2016-01-02 11:30:28.621000+00:00,0,W_Complete application,2016-01-02 11:30:28.621000+00:00,12,0
13,0,W_Call after offers,2016-01-02 11:30:28.629000+00:00,0,W_Call after offers,2016-01-02 11:30:28.629000+00:00,13,0
14,0,W_Call after offers,2016-01-02 11:30:28.631000+00:00,0,W_Call after offers,2016-01-02 11:30:28.631000+00:00,14,0
15,0,A_Complete,2016-01-02 11:30:28.633000+00:00,0,A_Complete,2016-01-02 11:30:28.633000+00:00,15,0
16,0,W_Call after offers,2016-01-02 11:32:41.624000+00:00,0,W_Call after offers,2016-01-02 11:32:41.624000+00:00,16,0
17,0,W_Call after offers,2016-01-06 09:26:44.492000+00:00,0,W_Call after offers,2016-01-06 09:26:44.492000+00:00,17,0
18,0,W_Call after offers,2016-01-06 09:27:08.472000+00:00,0,W_Call after offers,2016-01-06 09:27:08.472000+00:00,18,0
19,0,W_Call after offers,2016-01-13 13:10:55.138000+00:00,0,W_Call after offers,2016-01-13 13:10:55.138000+00:00,19,0
20,0,W_Validate application,2016-01-13 13:10:55.144000+00:00,0,W_Validate application,2016-01-13 13:10:55.144000+00:00,20,0
21,0,W_Validate application,2016-01-13 13:10:55.145000+00:00,0,W_Validate application,2016-01-13 13:10:55.145000+00:00,21,0
22,0,A_Validating,2016-01-13 13:10:55.973000+00:00,0,A_Validating,2016-01-13 13:10:55.973000+00:00,22,0
23,0,O_Returned,2016-01-13 13:11:03.569000+00:00,0,O_Returned,2016-01-13 13:11:03.569000+00:00,23,0
24,0,W_Validate application,2016-01-13 13:15:39.110000+00:00,0,W_Validate application,2016-01-13 13:15:39.110000+00:00,24,0
25,0,W_Validate application,2016-01-14 09:16:20.963000+00:00,0,W_Validate application,2016-01-14 09:16:20.963000+00:00,25,0
26,0,W_Call incomplete files,2016-01-14 09:16:20.970000+00:00,0,W_Call incomplete files,2016-01-14 09:16:20.970000+00:00,26,0
27,0,W_Call incomplete files,2016-01-14 09:16:20.972000+00:00,0,W_Call incomplete files,2016-01-14 09:16:20.972000+00:00,27,0
28,0,A_Incomplete,2016-01-14 09:16:20.974000+00:00,0,A_Incomplete,2016-01-14 09:16:20.974000+00:00,28,0
29,0,W_Call incomplete files,2016-01-14 09:17:46.943000+00:00,0,W_Call incomplete files,2016-01-14 09:17:46.943000+00:00,29,0
30,0,W_Call incomplete files,2016-01-14 11:27:28.536000+00:00,0,W_Call incomplete files,2016-01-14 11:27:28.536000+00:00,30,0
