Z,dT,Fitness,Fitness_cmp,Precision,Precision_cmp,Generality,Generality_cmp,Simplicity
0,base,0.9998661701396945,0.9998661701396945,0.44684304496023375,0.44684304496023375,0.8425936571217436,0.8425936571217436,0.6571428571428571
1,259200,0.9998177915293953,0.9998177915293953,0.40766719071229895,0.3324477720082115,0.8221403950993755,0.8221403950993755,0.65
2,259200,0.9997577475777758,0.9977631931208155,0.5272090517241379,0.248890096946634,0.7644923262346338,0.7352426682671573,0.6000000000000001
3,259200,0.9997562150496576,0.9937785517192095,0.6563185227928447,0.3236612408586931,0.8508846081647469,0.7885441732291835,0.625
4,259200,0.9997777474093308,0.9904674055760048,0.6473974856068617,0.30746882943953513,0.8386739453586464,0.790126286983251,0.6119402985074627
5,259200,0.999770415060772,0.9904674055760048,0.6415908560765105,0.30746882943953513,0.8393985009557934,0.790126286983251,0.6119402985074627
6,259200,0.9997614161282697,0.9904674055760048,0.6380666049953747,0.30746882943953513,0.8347652637271687,0.790126286983251,0.6119402985074627
7,259200,0.9997477508562406,0.9904628724989414,0.6481204736176571,0.30746882943953513,0.8229855530821939,0.7909604600689059,0.6119402985074627
8,259200,0.9997498844748921,0.9904674055760048,0.6462102129608427,0.30746882943953513,0.8190039433823894,0.790126286983251,0.6119402985074627
9,259200,0.9997554179686265,0.9858142686333466,0.6296685340802988,0.2889277680579855,0.851466533424988,0.7874742798164558,0.6129032258064515
10,259200,0.9997378198557763,0.9858087356128133,0.625665971739634,0.2889277680579855,0.8413793614980878,0.7882787328263655,0.6129032258064515
11,259200,0.9997386203527618,0.9858142686333466,0.6312521559158331,0.2889277680579855,0.8420275850811977,0.7874742798164558,0.6129032258064515
12,259200,0.9997268887704689,0.9858142686333466,0.6211378406111048,0.2889277680579855,0.8438107379276776,0.7874742798164558,0.6129032258064515
13,259200,0.9997208897025699,0.9858142686333466,0.6404953982501989,0.2889277680579855,0.8445640185408766,0.7874742798164558,0.6129032258064515
14,259200,0.9997090914908594,0.9858142686333466,0.6230230456394035,0.2889277680579855,0.8460010968597819,0.7874742798164558,0.6129032258064515
15,259200,0.9997038259053608,0.9858142686333466,0.6193367060146149,0.2889277680579855,0.8471990503264677,0.7874742798164558,0.6129032258064515
16,259200,0.999718703910269,0.9851685910368134,0.763272778481904,0.36536030341340076,0.8366964319410692,0.7700530604135253,0.6470588235294118
17,259200,0.9997163713395738,0.9851685910368134,0.762673781772223,0.36536030341340076,0.8371881547245642,0.7700530604135253,0.6470588235294118
18,259200,0.9997161714798865,0.9851685910368134,0.6891013384321223,0.3328534408292543,0.7971458529589205,0.7333939353414858,0.6296296296296295
19,259200,0.9997141721487556,0.9851685910368134,0.7566619915848527,0.36536030341340076,0.8371384669256225,0.7700530604135253,0.6470588235294118
20,259200,0.9997099732410154,0.9851685910368134,0.6848776777791863,0.3328534408292543,0.7972592611721732,0.7333939353414858,0.6296296296296295
21,259200,0.9997101733294139,0.9851685910368134,0.7537751677852349,0.36536030341340076,0.8366297904333901,0.7700530604135253,0.6470588235294118
22,259200,0.9997141722630711,0.9851685910368134,0.7534035087719299,0.36536030341340076,0.8344999513460925,0.7700530604135253,0.6470588235294118
23,259200,0.9997135059163561,0.9851685910368134,0.7509121526803255,0.36536030341340076,0.8338314422020534,0.7700530604135253,0.6470588235294118
24,259200,0.9997794868362707,0.9792209747075632,0.7517173699705594,0.3643558088002532,0.8680323418152616,0.7458091638267444,0.6190476190476191
25,259200,0.9997822300087048,0.9505543929874747,0.7939606527375325,0.34317101164125263,0.870058189204258,0.7461354140936558,0.6190476190476191
26,259200,0.9998001519325268,0.9425673135278753,0.8347417840375587,0.3547457627118644,0.8673736014604392,0.6968165084018239,0.6000000000000001
27,259200,0.9999175448110956,0.9426535296473526,0.8736028928336621,0.3547457627118644,0.848354344230522,0.6762572739298922,0.6000000000000001
28,259200,0.9999170781762158,0.9426535296473526,0.8760754467240238,0.3547457627118644,0.8470775466273327,0.6762572739298922,0.6000000000000001
29,259200,0.9999171447673555,0.9426535296473526,0.8373647358370464,0.3427775958074025,0.7803425514195202,0.6242374836275929,0.5757575757575757
30,259200,0.9999176112872536,0.9426535296473526,0.8779303415941058,0.3547457627118644,0.843526422861402,0.6762572739298922,0.6000000000000001
31,259200,0.9999176112378272,0.9426535296473526,0.9971608193064287,0.4320809248554913,0.9181243381592341,0.7318371846509315,0.6296296296296295
32,259200,0.9999174112651035,0.9426535296473526,0.9943181818181818,0.4320809248554913,0.91639183735172,0.7318371846509315,0.6296296296296295
33,259200,0.9999165447500116,0.9426535296473526,0.9945333063373153,0.4320809248554913,0.9153961988986868,0.7318371846509315,0.6296296296296295
34,259200,0.9999158782081765,0.9426535296473526,0.9424804127651443,0.4144554455445545,0.8376510608897526,0.6708507525966871,0.6000000000000001
35,259200,0.9999156782356128,0.9426535296473526,0.9965663502322764,0.4320809248554913,0.9116592767985098,0.7318371846509315,0.6296296296296295
36,259200,0.9999154782630489,0.9426535296473526,0.9967663702506063,0.4320809248554913,0.909162855585619,0.7318371846509315,0.6296296296296295
37,259200,0.9999148117219071,0.9426535296473526,0.944094638427781,0.4144554455445545,0.8308145760068909,0.6708507525966871,0.6000000000000001
38,259200,0.9999148783623797,0.9426535296473526,0.9973763874873864,0.4320809248554913,0.9004606995314094,0.7318371846509315,0.6296296296296295
39,259200,0.9999145451090173,0.9426535296473526,0.9949525540076721,0.4320809248554913,0.8943439193368208,0.7318371846509315,0.6296296296296295
40,259200,0.9999143451365735,0.9426535296473526,0.9424804127651443,0.4144554455445545,0.8140687230867875,0.6708507525966871,0.6000000000000001
41,259200,0.999913212046168,0.9426535296473526,0.9961793685903881,0.4320809248554913,0.8814005679696734,0.7318371846509315,0.6296296296296295
42,259200,0.9999124788671125,0.9426535296473526,0.9973911298414609,0.4320809248554913,0.8734284474241882,0.7318371846509315,0.6296296296296295
43,259200,0.9999198741130324,0.8546656829000601,0.9991958182549256,0.46713286713286717,0.8592010048340354,0.6487811403878547,0.6296296296296295
44,259200,0.9998110439637711,0.852615763638739,0.9997841571336067,0.4340463458110517,0.8627884977741973,0.7740109578530824,0.7142857142857143
45,259200,0.9998099777352025,0.852615763638739,0.9439024390243902,0.40901455767077266,0.7740394988052048,0.7144716534028452,0.6774193548387096
46,259200,0.9998487020199613,0.6579769392592514,1.0,0.0,0.9065141637520319,0.8337979749584968,0.7391304347826086
47,259200,0.9998479689592739,0.6579769392592514,0.9353999053478467,0.0,0.8193367197280234,0.757998159053179,0.6923076923076922
48,259200,0.9998472358995636,0.6579769392592514,0.9357277882797732,0.0,0.8124134088442205,0.757998159053179,0.6923076923076922
49,259200,0.999846302939173,0.6579769392592514,1.0,0.0,0.8807224073792013,0.8337979749584968,0.7391304347826086
